cloud,visibility_km,visibility_miles,air_quality
0,10,6,7.9
75,10,6,28.2
25,10,6,6.4
6,10,6,0.5
75,10,6,139.6
75,10,6,0.8
0,10,6,2.1
25,10,6,5
0,10,6,4
75,10,6,13.1
0,10,6,5.6
8,10,6,1.4
0,10,6,69.3
70,10,6,84.8
25,10,6,1.6
0,10,6,2.1
25,10,6,16.6
70,9,5,2.8
50,10,6,13.4
83,9,5,7.3
0,10,6,3.2
50,10,6,8.4
6,10,6,17.4
8,10,6,2.4
75,10,6,2.1
25,10,6,9.2
25,10,6,18.4
25,10,6,7.2
0,10,6,1.2
25,6,3,29
75,8,4,2
89,9,5,20.5
0,24,14,3.7
39,10,6,0.5
0,7,4,9.5
0,10,6,496.2
0,10,6,26.2
4,10,6,4.4
75,10,6,6.9
62,10,6,7.8
0,10,6,44.3
25,10,6,7.2
75,9,5,2.6
25,10,6,13
100,10,6,3
60,10,6,7.8
0,10,6,1.2
25,8,4,9.2
62,10,6,1.1
25,10,6,15.3
6,10,6,17.5
50,10,6,39
50,10,6,17.1
87,10,6,2.7
87,10,6,10.4
50,10,6,3.1
0,10,6,16.3
50,10,6,15.7
75,10,6,1.5
50,10,6,4
25,10,6,6
56,10,6,6.8
75,10,6,1.2
0,10,6,4.5
75,10,6,5.1
100,10,6,5.8
25,10,6,23.4
50,10,6,1.4
57,2,1,93.4
75,10,6,0.6
50,9,5,1.4
75,5,3,0.8
0,9,5,6.9
50,4,2,3.4
75,10,6,1.1
75,10,6,13.9
0,10,6,0.6
50,5,3,33.2
25,8,4,107
25,10,6,24.1
0,10,6,22.1
75,10,6,2.1
50,10,6,13.6
50,4,2,3.4
25,10,6,3.1
25,10,6,6.6
50,6,3,15.2
37,10,6,3.1
75,10,6,8.5
51,10,6,0.5
0,10,6,45.7
19,10,6,2
4,10,6,11.7
0,10,6,4.3
75,6,3,15.8
0,10,6,69.6
75,10,6,2.8
25,10,6,8.3
75,10,6,4.3
75,10,6,3.6
25,10,6,4.9
75,10,6,1.8
25,10,6,2.2
25,9,5,126.8
100,3,1,0.5
25,10,6,4.3
25,10,6,3.3
100,24,14,1
11,10,6,15.9
75,10,6,6.9
50,16,9,15.5
100,23,14,0.5
98,10,6,4.6
50,10,6,0.8
25,10,6,28.9
50,10,6,11.9
0,5,3,8
75,10,6,8.6
62,10,6,4
0,10,6,22.4
0,10,6,10.3
75,8,4,32.3
25,10,6,5.7
0,10,6,0.5
25,10,6,22.7
0,10,6,5
50,10,6,8.8
83,10,6,17.2
25,10,6,25.2
75,10,6,5.3
0,9,5,38.2
13,10,6,88.4
75,14,8,1.9
16,10,6,51.3
75,9,5,5.9
22,10,6,5.9
99,10,6,5.2
58,10,6,13.2
100,10,6,1.2
75,10,6,1.9
25,10,6,4.6
0,10,6,46.1
0,10,6,5.8
75,10,6,4.5
50,10,6,2.5
0,10,6,1.2
50,10,6,2.3
82,9,5,1.8
75,10,6,3.3
50,10,6,1.2
25,10,6,5.5
0,10,6,59
50,10,6,8.9
25,10,6,14.1
96,10,6,4.1
75,10,6,1.6
75,10,6,23.6
75,10,6,12.1
75,4,2,3
75,10,6,1.3
75,10,6,7.8
0,10,6,56.3
100,10,6,4.9
3,10,6,8.1
0,10,6,2.5
50,10,6,1.5
58,10,6,13
25,10,6,1
