country,location_name,latitude,longitude,condition_text,precip_mm
Afghanistan,Kabul,34.52,69.18,Sunny,0
Albania,Tirana,41.33,19.82,Partly cloudy,0
Algeria,Algiers,36.76,3.05,Partly cloudy,0
Andorra,Andorra La Vella,42.5,1.52,Sunny,0
Angola,Luanda,-8.84,13.23,Partly cloudy,0
Antigua and Barbuda,Saint John's,17.12,-61.85,Light rain,0.3
Argentina,Buenos Aires,-34.59,-58.67,Clear,0
Armenia,Yerevan,40.18,44.51,Partly cloudy,0
Australia,Canberra,-35.28,149.22,Clear,0
Austria,Vienna,48.2,16.37,Light rain,0
Azerbaijan,Baku,40.4,49.88,Sunny,0
Bahamas,Nassau,25.08,-77.35,Clear,0
Bahrain,Manama,26.24,50.58,Sunny,0
Bangladesh,Dhaka,23.72,90.41,Cloudy,0
Barbados,Bridgetown,13.1,-59.62,Partly cloudy,0.4
Belarus,Minsk,53.9,27.57,Sunny,0
Belgium,Brussels,50.83,4.33,Partly cloudy,0
Belize,Belmopan,17.25,-88.77,Patchy rain possible,0.7
Benin,Porto-Novo,6.48,2.62,Partly cloudy,0
Bhutan,Thimphu,27.48,89.6,Patchy rain possible,1.3
Bolivia,Sucre,-19.04,-65.26,Clear,0
Bosnia and Herzegovina,Sarajevo,43.85,18.38,Partly cloudy,0
Botswana,Gaborone,-24.65,25.91,Sunny,0
Brazil,Bras,-2.08,-58.17,Clear,0
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Partly cloudy,0.4
Bulgaria,Sofia,42.68,23.32,Partly cloudy,0.1
Burkina Faso,Ouagadougou,12.37,-1.52,Partly cloudy,0
Burundi,Bujumbura,-3.38,29.36,Partly cloudy,0
Madagascar,Ivory,-24.37,46.45,Sunny,0
Cape Verde,Praia,14.93,-23.51,Partly cloudy,0
Cambodia,Phnom Penh,11.55,104.92,Moderate or heavy rain with thunder,0
Cameroon,Bafoussam,5.47,10.42,Patchy rain possible,0.8
Canada,Ottawa,45.42,-75.7,Clear,0
Central African Republic,Bangui,4.37,18.58,Partly cloudy,0
Chad,N'djamena,12.11,15.05,Sunny,0
Chile,Santiago,-33.45,-70.67,Clear,0
China,Beijing,39.93,116.39,Sunny,0
Bulgaria,Bogot,43.32,24.7,Sunny,0
Comoros,Moroni,-11.7,43.24,Partly cloudy,3
Congo,Brazzaville,-4.26,15.28,Partly cloudy,0
Costa Rica,San Juan,9.97,-84.08,Clear,0
Croatia,Zagreb,45.8,16,Partly cloudy,0
Cuba,Havana,23.13,-82.36,Partly cloudy,0
Cyprus,Nicosia,35.17,33.37,Partly cloudy,0
Czech Republic,Prague,50.08,14.47,Overcast,0.1
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Partly cloudy,0
Denmark,Copenhagen,55.67,12.58,Sunny,0
Djibouti,Djibouti,11.6,43.15,Mist,0
Dominica,Roseau,15.3,-61.4,Light rain shower,0.6
Dominican Republic,Santo Domingo,18.47,-69.9,Partly cloudy,0
Ecuador,Quito,-0.22,-78.5,Clear,0
Egypt,Cairo,30.05,31.25,Partly cloudy,0
El Salvador,San Salvador,13.71,-89.2,Light rain,0
Equatorial Guinea,Malabo,3.75,8.78,Light rain shower,2
Eritrea,Asmara,15.33,38.93,Patchy rain possible,0.1
Estonia,Tallinn,59.43,24.73,Partly cloudy,0
Swaziland,Mbabane,-26.32,31.13,Sunny,0
Ethiopia,Addis Ababa,9.03,38.7,Partly cloudy,2.7
Fiji Islands,Suva,-18.13,178.42,Partly cloudy,0.1
Finland,Helsinki,60.18,24.93,Partly cloudy,0
France,Paris,48.87,2.33,Partly cloudy,0
Gabon,Libreville,0.38,9.45,Light rain shower,0.2
Gambia,Banjul,13.45,-16.58,Partly cloudy,0.7
Georgia,Tbilisi,41.73,44.79,Sunny,0
Germany,Berlin,52.52,13.4,Light rain,0.3
Ghana,Accra,5.55,-0.22,Overcast,0
Greece,Athens,37.98,23.72,Partly cloudy,0
Grenada,Saint George's,12.05,-61.75,Partly cloudy,0.4
Guatemala,Guatemala City,14.62,-90.53,Mist,0
Guinea,Conakry,9.51,-13.71,Partly cloudy,2.5
Guinea-Bissau,Bissau,11.85,-15.58,Light rain,0.5
Guyana,Georgetown,6.8,-58.17,Mist,1.8
Haiti,Port-Au-Prince,18.54,-72.34,Clear,0
Vatican City,Vatican City,41.9,12.45,Moderate rain,0.9
Honduras,Tegucigalpa,14.1,-87.22,Partly cloudy,0
Hungary,Budapest,47.5,19.08,Light rain shower,0.1
Iceland,Hella,63.83,-20.4,Sunny,0
India,New Delhi,28.6,77.2,Mist,0
Indonesia,Jakarta,-6.21,106.85,Partly cloudy,0
Iran,Tehran,35.73,51.33,Partly cloudy,0
Iraq,Baghdad,33.34,44.39,Sunny,0
Ireland,Dublin,53.33,-6.25,Partly cloudy,0
Israel,Jerusalem,31.78,35.23,Partly cloudy,0
Italy,Rome,41.9,12.48,Moderate rain,0.9
Jamaica,Norman Gardens,17.97,-76.75,Partly cloudy,0
Japan,Tokyo,35.69,139.69,Partly cloudy,0
Jordan,Amman,31.95,35.93,Partly cloudy,0
Kazakhstan,Astana,51.18,71.43,Partly cloudy,0
Kenya,Nairobi,-1.28,36.82,Partly cloudy,0
Kiribati,Tarawa,-0.88,169.53,Light rain shower,0.2
Kuwait,Kuwait City,29.37,47.96,Sunny,0
Kyrghyzstan,Bishkek,42.87,74.6,Sunny,0
Indonesia,Laos,-8.18,114.32,Sunny,0
Latvia,Riga,56.95,24.1,Light rain,0
Lebanon,Beirut,33.87,35.51,Partly cloudy,0
Lesotho,Maseru,-29.32,27.48,Sunny,0
Liberia,Monrovia,6.31,-10.8,Partly cloudy,1.3
Thailand,Nan,18.78,100.78,Partly cloudy,4.8
Liechtenstein,Vaduz,47.13,9.52,Light rain,0.2
Lithuania,Vilnius,54.68,25.32,Moderate or heavy rain with thunder,0.1
Luxembourg,Luxembourg,49.61,6.13,Partly cloudy,0.1
Madagascar,Antananarivo,-18.92,47.52,Partly cloudy,0.2
Malawi,Lilongwe,-13.98,33.78,Partly cloudy,0
Malaysia,Kuala Lumpur,3.17,101.7,Moderate or heavy rain with thunder,1.4
Maldives,Farukolhufunadhoo,6.15,73.27,Torrential rain shower,9.4
Mali,Bamako,12.65,-8,Light rain,2.3
Malta,Valletta,35.9,14.51,Partly cloudy,0
Marshall Islands,Majuro,7.1,171.38,Overcast,0
Mauritania,Nouakchott,18.09,-15.98,Sunny,0
Mauritius,Port Louis,-20.16,57.5,Partly cloudy,0
Mexico,Mexico City,19.43,-99.13,Partly cloudy,0
Micronesia,Palikir,6.92,158.15,Light rain,0.3
Russia,Chi-Chi-Erh,51.7,94.45,Overcast,0
Monaco,Monaco,43.73,7.42,Partly cloudy,0
Mongolia,Ulaanbaatar,47.92,106.92,Partly cloudy,0
Montenegro,Podgorica,42.44,19.26,Partly cloudy,0.3
Morocco,Rabat,34.03,-6.84,Sunny,0
Mozambique,Maputo,-25.97,32.59,Partly cloudy,0.1
Myanmar,Pathein,16.78,94.73,Partly cloudy,0
Namibia,Windhoek,-22.57,17.08,Sunny,0
Turkey,Yaren,39.55,27.62,Sunny,0
Nepal,Kathmandu,27.72,85.32,Partly cloudy,0.5
Netherlands,Amsterdam,52.37,4.89,Partly cloudy,0
New Zealand,Wellington,-41.3,174.78,Clear,0
Nicaragua,Managua,12.15,-86.27,Partly cloudy,0
Niger,Niamey,13.52,2.12,Sunny,0
Nigeria,Abuja,9.18,7.18,Partly cloudy,0
