country,location_name,latitude,longitude,air_quality
Afghanistan,Kabul,34.52,69.18,7.9
Albania,Tirana,41.33,19.82,28.2
Algeria,Algiers,36.76,3.05,6.4
Andorra,Andorra La Vella,42.5,1.52,0.5
Angola,Luanda,-8.84,13.23,139.6
Antigua and Barbuda,Saint John's,17.12,-61.85,0.8
Argentina,Buenos Aires,-34.59,-58.67,2.1
Armenia,Yerevan,40.18,44.51,5
Australia,Canberra,-35.28,149.22,4
Austria,Vienna,48.2,16.37,13.1
Azerbaijan,Baku,40.4,49.88,5.6
Bahamas,Nassau,25.08,-77.35,1.4
Bahrain,Manama,26.24,50.58,69.3
Bangladesh,Dhaka,23.72,90.41,84.8
Barbados,Bridgetown,13.1,-59.62,1.6
Belarus,Minsk,53.9,27.57,2.1
Belgium,Brussels,50.83,4.33,16.6
Belize,Belmopan,17.25,-88.77,2.8
Benin,Porto-Novo,6.48,2.62,13.4
Bhutan,Thimphu,27.48,89.6,7.3
Bolivia,Sucre,-19.04,-65.26,3.2
Bosnia and Herzegovina,Sarajevo,43.85,18.38,8.4
Botswana,Gaborone,-24.65,25.91,17.4
Brazil,Bras,-2.08,-58.17,2.4
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2.1
Bulgaria,Sofia,42.68,23.32,9.2
Burkina Faso,Ouagadougou,12.37,-1.52,18.4
Burundi,Bujumbura,-3.38,29.36,7.2
Madagascar,Ivory,-24.37,46.45,1.2
Cape Verde,Praia,14.93,-23.51,29
Cambodia,Phnom Penh,11.55,104.92,2
Cameroon,Bafoussam,5.47,10.42,20.5
Canada,Ottawa,45.42,-75.7,3.7
Central African Republic,Bangui,4.37,18.58,0.5
Chad,N'djamena,12.11,15.05,9.5
Chile,Santiago,-33.45,-70.67,496.2
China,Beijing,39.93,116.39,26.2
Bulgaria,Bogot,43.32,24.7,4.4
Comoros,Moroni,-11.7,43.24,6.9
Congo,Brazzaville,-4.26,15.28,7.8
Costa Rica,San Juan,9.97,-84.08,44.3
Croatia,Zagreb,45.8,16,7.2
Cuba,Havana,23.13,-82.36,2.6
Cyprus,Nicosia,35.17,33.37,13
Czech Republic,Prague,50.08,14.47,3
Democratic Republic of Congo,Kinshasa,-4.3,15.3,7.8
Denmark,Copenhagen,55.67,12.58,1.2
Djibouti,Djibouti,11.6,43.15,9.2
Dominica,Roseau,15.3,-61.4,1.1
Dominican Republic,Santo Domingo,18.47,-69.9,15.3
Ecuador,Quito,-0.22,-78.5,17.5
Egypt,Cairo,30.05,31.25,39
El Salvador,San Salvador,13.71,-89.2,17.1
Equatorial Guinea,Malabo,3.75,8.78,2.7
Eritrea,Asmara,15.33,38.93,10.4
Estonia,Tallinn,59.43,24.73,3.1
Swaziland,Mbabane,-26.32,31.13,16.3
Ethiopia,Addis Ababa,9.03,38.7,15.7
Fiji Islands,Suva,-18.13,178.42,1.5
Finland,Helsinki,60.18,24.93,4
France,Paris,48.87,2.33,6
Gabon,Libreville,0.38,9.45,6.8
Gambia,Banjul,13.45,-16.58,1.2
Georgia,Tbilisi,41.73,44.79,4.5
Germany,Berlin,52.52,13.4,5.1
Ghana,Accra,5.55,-0.22,5.8
Greece,Athens,37.98,23.72,23.4
Grenada,Saint George's,12.05,-61.75,1.4
Guatemala,Guatemala City,14.62,-90.53,93.4
Guinea,Conakry,9.51,-13.71,0.6
Guinea-Bissau,Bissau,11.85,-15.58,1.4
