air_quality,moon_illumination
7.9,93
28.2,93
6.4,93
0.5,93
139.6,93
0.8,93
2.1,93
5.0,93
4.0,93
13.1,93
5.6,93
1.4,93
69.3,93
84.8,93
1.6,93
2.1,93
16.6,93
2.8,93
13.4,93
7.3,93
3.2,93
8.4,93
17.4,93
2.4,93
2.1,93
9.2,93
18.4,93
7.2,93
1.2,93
29.0,93
2.0,93
20.5,93
3.7,93
0.5,93
9.5,93
496.2,93
26.2,93
4.4,93
6.9,93
7.8,93
44.3,93
7.2,93
2.6,93
13.0,93
3.0,93
7.8,93
1.2,93
9.2,93
1.1,93
15.3,93
17.5,93
39.0,93
17.1,93
2.7,93
10.4,93
3.1,93
16.3,93
15.7,93
1.5,93
4.0,93
6.0,93
6.8,93
1.2,93
4.5,93
5.1,93
5.8,93
23.4,93
1.4,93
93.4,93
0.6,93
1.4,93
0.8,93
6.9,93
3.4,93
1.1,93
13.9,93
0.6,93
33.2,93
107.0,93
24.1,93
22.1,93
2.1,93
13.6,93
3.4,93
3.1,93
6.6,93
15.2,93
3.1,93
8.5,93
0.5,93
45.7,93
2.0,93
11.7,93
4.3,93
15.8,93
69.6,93
2.8,93
8.3,93
4.3,93
3.6,93
4.9,93
1.8,93
2.2,93
126.8,93
0.5,93
4.3,93
3.3,93
1.0,93
15.9,93
6.9,93
15.5,93
0.5,93
4.6,93
0.8,93
28.9,93
11.9,93
8.0,93
8.6,93
4.0,93
22.4,93
10.3,93
32.3,93
5.7,93
0.5,93
22.7,93
5.0,93
8.8,93
17.2,93
25.2,93
5.3,93
38.2,93
88.4,93
1.9,93
51.3,93
5.9,93
5.9,93
5.2,93
13.2,93
1.2,93
1.9,93
4.6,93
46.1,93
5.8,93
4.5,93
2.5,93
1.2,93
2.3,93
1.8,93
3.3,93
1.2,93
5.5,93
59.0,93
8.9,93
14.1,93
4.1,93
1.6,93
23.6,93
12.1,93
3.0,93
1.3,93
7.8,93
56.3,93
4.9,93
8.1,93
2.5,93
1.5,93
13.0,93
1.0,93
2.8,93
4.1,93
6.9,93
2.0,93
1.4,93
10.0,93
41.1,93
7.5,93
1.2,93
2.1,93
2.4,93
13.3,93
19.0,93
1.6,93
4.0,93
13.3,93
82.6,93
4.0,93
9.6,93
2.8,93
7.1,93
4.8,93
25.6,93
12.9,93
17.5,93
17.3,93
17.4,93
31.7,98
4.5,98
5.3,98
0.8,98
8.5,98
7.7,98
2.9,98
2.2,98
3.8,98
3.0,98
0.9,98
13.9,98
28.7,98
153.9,98
2.3,98
8.3,98
11.2,98
2.9,98
6.3,98
14.1,98
11.8,98
1.7,98
2.7,98
2.8,98
2.3,98
10.3,98
5.0,98
28.7,98
2.4,98
17.5,98
1.8,98
14.7,98
2.7,98
0.6,98
8.5,98
537.3,98
150.9,98
7.9,98
4.6,98
38.4,98
37.4,98
2.6,98
5.3,98
20.8,98
4.6,98
38.4,98
3.8,98
9.1,98
2.4,98
20.5,98
32.0,98
26.9,98
12.6,98
1.7,98
25.2,98
3.3,98
10.7,98
12.8,98
3.3,98
7.8,98
9.7,98
4.9,98
1.1,98
3.5,98
3.9,98
6.1,98
27.2,98
1.8,98
36.5,98
0.8,98
1.0,98
1.6,98
8.1,98
5.4,98
9.4,98
13.5,98
1.3,98
15.4,98
243.3,98
14.8,98
12.6,98
2.9,98
15.4,98
5.4,98
11.1,98
4.8,98
19.2,98
4.7,98
8.7,98
0.7,98
25.8,98
5.8,98
20.4,98
2.9,98
13.1,98
64.7,98
1.5,98
4.1,98
5.5,98
7.6,98
6.1,98
2.1,98
4.4,98
51.1,98
1.0,98
42.1,98
3.2,98
1.8,98
14.9,98
5.8,98
6.6,98
0.5,98
1.7,98
2.6,98
5.5,98
3.0,98
10.0,98
26.5,98
21.3,98
15.5,98
25.0,98
77.4,98
6.1,98
1.2,98
13.2,98
4.8,98
13.5,98
9.4,98
22.2,98
2.4,98
44.3,98
46.3,98
0.8,98
19.1,98
8.6,98
3.0,98
12.0,98
12.6,98
2.2,98
19.1,98
3.6,98
35.7,98
12.4,98
