country,location_name,latitude,longitude,temperature_fahrenheit,cloud,precip_mm,air_quality,moon_illumination,visibility_km,visibility_miles
Afghanistan,Kabul,34.52,69.18,83.8,0,0.0,7.9,93,10.0,6.0
Albania,Tirana,41.33,19.82,80.6,75,0.0,28.2,93,10.0,6.0
Algeria,Algiers,36.76,3.05,82.4,25,0.0,6.4,93,10.0,6.0
Andorra,Andorra La Vella,42.5,1.52,50.4,6,0.0,0.5,93,10.0,6.0
Angola,Luanda,-8.84,13.23,77.0,75,0.0,139.6,93,10.0,6.0
Antigua and Barbuda,Saint John's,17.12,-61.85,84.2,75,0.3,0.8,93,10.0,6.0
Argentina,Buenos Aires,-34.59,-58.67,48.2,0,0.0,2.1,93,10.0,6.0
Armenia,Yerevan,40.18,44.51,87.8,25,0.0,5.0,93,10.0,6.0
Australia,Canberra,-35.28,149.22,55.4,0,0.0,4.0,93,10.0,6.0
Austria,Vienna,48.2,16.37,60.8,75,0.0,13.1,93,10.0,6.0
Azerbaijan,Baku,40.4,49.88,87.8,0,0.0,5.6,93,10.0,6.0
Bahamas,Nassau,25.08,-77.35,85.6,8,0.0,1.4,93,10.0,6.0
Bahrain,Manama,26.24,50.58,100.4,0,0.0,69.3,93,10.0,6.0
Bangladesh,Dhaka,23.72,90.41,93.2,70,0.0,84.8,93,10.0,6.0
Barbados,Bridgetown,13.1,-59.62,80.6,25,0.4,1.6,93,10.0,6.0
Belarus,Minsk,53.9,27.57,71.6,0,0.0,2.1,93,10.0,6.0
Belgium,Brussels,50.83,4.33,60.8,25,0.0,16.6,93,10.0,6.0
Belize,Belmopan,17.25,-88.77,74.5,70,0.7,2.8,93,9.0,5.0
Benin,Porto-Novo,6.48,2.62,82.4,50,0.0,13.4,93,10.0,6.0
Bhutan,Thimphu,27.48,89.6,62.8,83,1.3,7.3,93,9.0,5.0
Bolivia,Sucre,-19.04,-65.26,51.4,0,0.0,3.2,93,10.0,6.0
Bosnia and Herzegovina,Sarajevo,43.85,18.38,73.4,50,0.0,8.4,93,10.0,6.0
Botswana,Gaborone,-24.65,25.91,65.1,6,0.0,17.4,93,10.0,6.0
Brazil,Bras,-2.08,-58.17,74.8,8,0.0,2.4,93,10.0,6.0
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,87.8,75,0.4,2.1,93,10.0,6.0
Bulgaria,Sofia,42.68,23.32,82.4,25,0.1,9.2,93,10.0,6.0
Burkina Faso,Ouagadougou,12.37,-1.52,82.4,25,0.0,18.4,93,10.0,6.0
Burundi,Bujumbura,-3.38,29.36,84.0,25,0.0,7.2,93,10.0,6.0
Madagascar,Ivory,-24.37,46.45,73.2,0,0.0,1.2,93,10.0,6.0
Cape Verde,Praia,14.93,-23.51,82.4,25,0.0,29.0,93,6.0,3.0
Cambodia,Phnom Penh,11.55,104.92,86.0,75,0.0,2.0,93,8.0,4.0
Cameroon,Bafoussam,5.47,10.42,75.0,89,0.8,20.5,93,9.0,5.0
Canada,Ottawa,45.42,-75.7,51.8,0,0.0,3.7,93,24.0,14.0
Central African Republic,Bangui,4.37,18.58,79.3,39,0.0,0.5,93,10.0,6.0
Chad,N'djamena,12.11,15.05,89.6,0,0.0,9.5,93,7.0,4.0
Chile,Santiago,-33.45,-70.67,41.0,0,0.0,496.2,93,10.0,6.0
China,Beijing,39.93,116.39,82.4,0,0.0,26.2,93,10.0,6.0
Bulgaria,Bogot,43.32,24.7,97.5,4,0.0,4.4,93,10.0,6.0
Comoros,Moroni,-11.7,43.24,75.2,75,3.0,6.9,93,10.0,6.0
Congo,Brazzaville,-4.26,15.28,88.0,62,0.0,7.8,93,10.0,6.0
Costa Rica,San Juan,9.97,-84.08,69.8,0,0.0,44.3,93,10.0,6.0
Croatia,Zagreb,45.8,16.0,73.4,25,0.0,7.2,93,10.0,6.0
Cuba,Havana,23.13,-82.36,78.8,75,0.0,2.6,93,9.0,5.0
Cyprus,Nicosia,35.17,33.37,95.0,25,0.0,13.0,93,10.0,6.0
Czech Republic,Prague,50.08,14.47,55.4,100,0.1,3.0,93,10.0,6.0
Democratic Republic of Congo,Kinshasa,-4.3,15.3,88.0,60,0.0,7.8,93,10.0,6.0
Denmark,Copenhagen,55.67,12.58,62.6,0,0.0,1.2,93,10.0,6.0
Djibouti,Djibouti,11.6,43.15,107.6,25,0.0,9.2,93,8.0,4.0
Dominica,Roseau,15.3,-61.4,82.8,62,0.6,1.1,93,10.0,6.0
Dominican Republic,Santo Domingo,18.47,-69.9,78.8,25,0.0,15.3,93,10.0,6.0
Ecuador,Quito,-0.22,-78.5,48.0,6,0.0,17.5,93,10.0,6.0
Egypt,Cairo,30.05,31.25,87.8,50,0.0,39.0,93,10.0,6.0
El Salvador,San Salvador,13.71,-89.2,78.8,50,0.0,17.1,93,10.0,6.0
Equatorial Guinea,Malabo,3.75,8.78,78.6,87,2.0,2.7,93,10.0,6.0
Eritrea,Asmara,15.33,38.93,77.2,87,0.1,10.4,93,10.0,6.0
Estonia,Tallinn,59.43,24.73,66.2,50,0.0,3.1,93,10.0,6.0
Swaziland,Mbabane,-26.32,31.13,68.0,0,0.0,16.3,93,10.0,6.0
Ethiopia,Addis Ababa,9.03,38.7,62.6,50,2.7,15.7,93,10.0,6.0
Fiji Islands,Suva,-18.13,178.42,75.2,75,0.1,1.5,93,10.0,6.0
Finland,Helsinki,60.18,24.93,68.0,50,0.0,4.0,93,10.0,6.0
France,Paris,48.87,2.33,64.4,25,0.0,6.0,93,10.0,6.0
Gabon,Libreville,0.38,9.45,80.6,56,0.2,6.8,93,10.0,6.0
Gambia,Banjul,13.45,-16.58,80.6,75,0.7,1.2,93,10.0,6.0
Georgia,Tbilisi,41.73,44.79,86.0,0,0.0,4.5,93,10.0,6.0
Germany,Berlin,52.52,13.4,60.8,75,0.3,5.1,93,10.0,6.0
Ghana,Accra,5.55,-0.22,78.8,100,0.0,5.8,93,10.0,6.0
Greece,Athens,37.98,23.72,89.6,25,0.0,23.4,93,10.0,6.0
Grenada,Saint George's,12.05,-61.75,78.8,50,0.4,1.4,93,10.0,6.0
Guatemala,Guatemala City,14.62,-90.53,62.6,57,0.0,93.4,93,2.0,1.0
Guinea,Conakry,9.51,-13.71,77.0,75,2.5,0.6,93,10.0,6.0
Guinea-Bissau,Bissau,11.85,-15.58,82.4,50,0.5,1.4,93,9.0,5.0
Guyana,Georgetown,6.8,-58.17,75.2,75,1.8,0.8,93,5.0,3.0
Haiti,Port-Au-Prince,18.54,-72.34,80.6,0,0.0,6.9,93,9.0,5.0
Vatican City,Vatican City,41.9,12.45,69.8,50,0.9,3.4,93,4.0,2.0
Honduras,Tegucigalpa,14.1,-87.22,69.8,75,0.0,1.1,93,10.0,6.0
Hungary,Budapest,47.5,19.08,68.0,75,0.1,13.9,93,10.0,6.0
Iceland,Hella,63.83,-20.4,51.8,0,0.0,0.6,93,10.0,6.0
India,New Delhi,28.6,77.2,93.2,50,0.0,33.2,93,5.0,3.0
Indonesia,Jakarta,-6.21,106.85,87.8,25,0.0,107.0,93,8.0,4.0
Iran,Tehran,35.73,51.33,91.4,25,0.0,24.1,93,10.0,6.0
Iraq,Baghdad,33.34,44.39,98.6,0,0.0,22.1,93,10.0,6.0
Ireland,Dublin,53.33,-6.25,57.2,75,0.0,2.1,93,10.0,6.0
Israel,Jerusalem,31.78,35.23,86.0,50,0.0,13.6,93,10.0,6.0
Italy,Rome,41.9,12.48,69.8,50,0.9,3.4,93,4.0,2.0
