latitude,longitude,temperature_fahrenheit,wind_mph
34.52,69.18,83.8,7.2
41.33,19.82,80.6,3.8
36.76,3.05,82.4,8.1
42.5,1.52,50.4,6.0
-8.84,13.23,77.0,2.2
17.12,-61.85,84.2,9.4
-34.59,-58.67,48.2,6.9
40.18,44.51,87.8,5.6
-35.28,149.22,55.4,9.4
48.2,16.37,60.8,11.9
40.4,49.88,87.8,13.6
25.08,-77.35,85.6,8.9
26.24,50.58,100.4,8.1
23.72,90.41,93.2,3.4
13.1,-59.62,80.6,16.1
53.9,27.57,71.6,6.9
50.83,4.33,60.8,3.8
17.25,-88.77,74.5,4.3
6.48,2.62,82.4,10.5
27.48,89.6,62.8,5.4
-19.04,-65.26,51.4,2.2
43.85,18.38,73.4,18.6
-24.65,25.91,65.1,9.4
-2.08,-58.17,74.8,3.1
4.88,114.93,87.8,6.9
42.68,23.32,82.4,9.4
12.37,-1.52,82.4,4.3
-3.38,29.36,84.0,10.5
-24.37,46.45,73.2,6.3
14.93,-23.51,82.4,9.4
11.55,104.92,86.0,6.9
5.47,10.42,75.0,2.2
45.42,-75.7,51.8,4.3
4.37,18.58,79.3,2.2
12.11,15.05,89.6,11.9
-33.45,-70.67,41.0,3.8
39.93,116.39,82.4,4.3
43.32,24.7,97.5,7.4
-11.7,43.24,75.2,15.0
-4.26,15.28,88.0,5.6
9.97,-84.08,69.8,3.8
45.8,16.0,73.4,2.2
23.13,-82.36,78.8,9.4
35.17,33.37,95.0,6.9
50.08,14.47,55.4,5.6
-4.3,15.3,88.0,5.6
55.67,12.58,62.6,4.3
11.6,43.15,107.6,9.4
15.3,-61.4,82.8,12.3
18.47,-69.9,78.8,4.3
-0.22,-78.5,48.0,4.3
30.05,31.25,87.8,11.9
13.71,-89.2,78.8,4.3
3.75,8.78,78.6,5.4
15.33,38.93,77.2,10.7
59.43,24.73,66.2,10.5
-26.32,31.13,68.0,2.2
9.03,38.7,62.6,8.1
-18.13,178.42,75.2,8.1
60.18,24.93,68.0,11.9
48.87,2.33,64.4,6.9
0.38,9.45,80.6,5.1
13.45,-16.58,80.6,9.4
41.73,44.79,86.0,8.1
52.52,13.4,60.8,9.4
5.55,-0.22,78.8,6.9
37.98,23.72,89.6,6.9
12.05,-61.75,78.8,12.5
14.62,-90.53,62.6,2.2
9.51,-13.71,77.0,4.3
11.85,-15.58,82.4,6.9
6.8,-58.17,75.2,2.2
18.54,-72.34,80.6,9.4
41.9,12.45,69.8,2.2
14.1,-87.22,69.8,3.8
47.5,19.08,68.0,6.9
63.83,-20.4,51.8,4.3
28.6,77.2,93.2,4.3
-6.21,106.85,87.8,16.1
35.73,51.33,91.4,9.4
33.34,44.39,98.6,6.9
